Entity,Code,Year,Renewables (% growth)
Greece,GRC,2017,-7.33204460144043
Greece,GRC,2018,17.00878143310547
Greece,GRC,2019,-0.4578053951263428
Greece,GRC,2020,8.947669982910156
Greece,GRC,2021,23.567724227905273
High-income countries,,1966,5.6922078132629395
High-income countries,,1967,2.4589896202087402
High-income countries,,1968,2.8202295303344727
High-income countries,,1969,4.516041278839111
High-income countries,,1970,2.838277816772461
High-income countries,,1971,4.3137311935424805
High-income countries,,1972,4.352855682373047
High-income countries,,1973,0.3112912178039551
High-income countries,,1974,9.673463821411133
High-income countries,,1975,-0.024634599685668945
High-income countries,,1976,-3.7606358528137207
High-income countries,,1977,0.6255149841308594
High-income countries,,1978,7.495903968811035
High-income countries,,1979,4.033267498016357
High-income countries,,1980,-0.7351458072662354
High-income countries,,1981,0.9965300559997559
High-income countries,,1982,3.2920360565185547
High-income countries,,1983,5.233001708984375
High-income countries,,1984,0.273895263671875
High-income countries,,1985,-0.13214349746704102
High-income countries,,1986,0.29702186584472656
High-income countries,,1987,-0.0073909759521484375
High-income countries,,1988,0.19414424896240234
High-income countries,,1989,-1.269829273223877
High-income countries,,1990,4.075944423675537
High-income countries,,1991,1.637423038482666
High-income countries,,1992,-0.5566716194152832
High-income countries,,1993,5.206286907196045
High-income countries,,1994,-2.2852540016174316
High-income countries,,1995,5.936741828918457
High-income countries,,1996,2.1651625633239746
High-income countries,,1997,2.971518039703369
High-income countries,,1998,-1.6489505767822266
High-income countries,,1999,1.2628912925720215
High-income countries,,2000,1.497352123260498
High-income countries,,2001,-5.272305011749268
High-income countries,,2002,2.7235865592956543
High-income countries,,2003,-0.3348708152770996
High-income countries,,2004,3.3586740493774414
High-income countries,,2005,3.2957077026367188
High-income countries,,2006,3.106677532196045
High-income countries,,2007,1.3126611709594727
High-income countries,,2008,6.04473352432251
High-income countries,,2009,3.1977176666259766
High-income countries,,2010,5.082249641418457
High-income countries,,2011,6.967949867248535
High-income countries,,2012,5.542540550231934
High-income countries,,2013,6.33699893951416
High-income countries,,2014,3.2124876976013184
High-income countries,,2015,4.0821075439453125
High-income countries,,2016,4.377472400665283
High-income countries,,2017,5.568981170654297
High-income countries,,2018,4.832816123962402
High-income countries,,2019,2.8188467025756836
High-income countries,,2020,7.484745979309082
High-income countries,,2021,3.1813859939575195
Hong Kong,HKG,2007,24.639774322509766
Hong Kong,HKG,2008,-6.705206871032715
Hong Kong,HKG,2009,36.18339157104492
Hong Kong,HKG,2010,3634.395263671875
Hong Kong,HKG,2011,14.197993278503418
Hong Kong,HKG,2012,-3.8725733757019043
Hong Kong,HKG,2013,-11.579704284667969
Hong Kong,HKG,2014,17.732715606689453
Hong Kong,HKG,2015,31.793176651000977
Hong Kong,HKG,2016,12.426590919494629
Hong Kong,HKG,2017,3.1687140464782715
Hong Kong,HKG,2018,3.590250015258789
Hong Kong,HKG,2019,10.260141372680664
Hong Kong,HKG,2020,1.3432979583740234
Hong Kong,HKG,2021,1.7387032508850098
Hungary,HUN,1966,33.33332443237305
Hungary,HUN,1967,-18
Hungary,HUN,1968,8.536588668823242
